quick|gentle|ja_quick_gentle_1|いい一歩です。この流れで進みましょう。
quick|hype|ja_quick_hype_1|軽やかな一手です。この勢い、かなり熱いです。
solid|steady|ja_solid_steady_1|しっかり決めましたね。いい完了です。
solid|steady|ja_solid_steady_2|きれいな締めです。この調子です。
solid|rapid_fire|ja_solid_rapid_fire_1|連続で決めています。この勢いを続けましょう。
solid|rapid_fire|ja_solid_rapid_fire_2|どんどん完了していますね。いいテンポです。
solid|cozy|ja_solid_cozy_1|落ち着いて良い前進でした。続けましょう。
solid|streak|ja_solid_streak_1|連続の良い流れが続いています。かなり乗っていますね。
solid|triumphant|ja_solid_triumphant_1|力強く締めましたね。しっかり決め切りました。
big|triumphant|ja_big_triumphant_1|大きな完了です。見事に押し切りましたね。
big|streak|ja_big_streak_1|連続の好調です。この勢いを大事にしましょう。
big|hype|ja_big_hype_1|熱いですね。今の一手で流れを作りました。
legendary|milestone|ja_legendary_milestone_1|マイルストーン達成です。今日は主役級の流れです。
quick|gentle|ja_quick_gentle_2|小さな一歩、確かな前進です。
quick|gentle|ja_quick_gentle_3|また一つ完了。滑らかですね。
quick|hype|ja_quick_hype_2|速攻クリーン。これこそプロの仕事。
solid|steady|ja_solid_steady_3|タスク完了、品質問題なし。次へ。
solid|steady|ja_solid_steady_4|きれいに終わりました。見事です。
solid|rapid_fire|ja_solid_rapid_fire_3|連続クリア。コンパイラも驚きです。
solid|cozy|ja_solid_cozy_2|静かに、でも確実に。いい仕事です。
solid|cozy|ja_solid_cozy_3|地味だけど効果的。これぞ職人技。
solid|streak|ja_solid_streak_2|波に乗っています。ゾーンに入りましたね。
solid|triumphant|ja_solid_triumphant_2|見事な実行。これができる人のやり方です。
big|triumphant|ja_big_triumphant_2|マラソンフィニッシュ。脱帽です。
big|triumphant|ja_big_triumphant_3|ビッグマイルストーン。勝ち取りましたね。
big|streak|ja_big_streak_2|大連勝モード。止まりませんね。
big|hype|ja_big_hype_2|ピークパフォーマンス。レベルアップしました。
legendary|milestone|ja_legendary_milestone_2|実績解除。数字は嘘をつきません。
legendary|milestone|ja_legendary_milestone_3|歴史を作りました。伝説的セッションです。
