quick|gentle|es_quick_gentle_1|Un pequeño paso, un progreso real. Sigue así.
quick|gentle|es_quick_gentle_2|Uno más hecho. Suave y constante.
quick|hype|es_quick_hype_1|Rápido y limpio. Así se hace.
quick|hype|es_quick_hype_2|Velocidad impresionante. La chispa sigue viva.
solid|steady|es_solid_steady_1|Trabajo sólido completado. Buen ritmo.
solid|steady|es_solid_steady_2|Cierre limpio. Calidad y ritmo impecables.
solid|steady|es_solid_steady_3|Tarea cerrada, calidad intacta. Adelante.
solid|rapid_fire|es_solid_rapid_fire_1|Victorias consecutivas. El compilador está impresionado.
solid|rapid_fire|es_solid_rapid_fire_2|No paras. Esta racha es real. Sigue así.
solid|cozy|es_solid_cozy_1|Tranquilo pero efectivo. Buen trabajo.
solid|cozy|es_solid_cozy_2|Sin drama, solo resultados. Así se hace.
solid|streak|es_solid_streak_1|El momento sigue creciendo. Estás en la zona.
solid|streak|es_solid_streak_2|Racha imparable. Sigue con esa energía.
solid|triumphant|es_solid_triumphant_1|Ejecución sólida. Así se hace.
solid|triumphant|es_solid_triumphant_2|Cierre contundente. Te lo ganaste.
big|triumphant|es_big_triumphant_1|Gran final. Lo llevaste con maestría.
big|triumphant|es_big_triumphant_2|Fin de maratón. Respeto total.
big|streak|es_big_streak_1|Racha épica. No hay quien te pare.
big|streak|es_big_streak_2|Gran momento de racha. Sigue así.
big|hype|es_big_hype_1|Rendimiento máximo. Acabas de subir de nivel.
big|hype|es_big_hype_2|Energía brutal. Convirtiendo esfuerzo en momento.
legendary|milestone|es_legendary_milestone_1|Logro desbloqueado. Los números no mienten.
legendary|milestone|es_legendary_milestone_2|Acabas de hacer historia. Sesión legendaria.
