quick|gentle|en_quick_gentle_1|Nice step forward. Keep the flow going.
quick|hype|en_quick_hype_1|Quick win. You kept the spark alive.
solid|steady|en_solid_steady_1|Strong work. That task is officially done.
solid|steady|en_solid_steady_2|Clean finish. You kept the energy and closed it out.
solid|rapid_fire|en_solid_rapid_fire_1|You are on a roll. These are stacking up fast.
solid|rapid_fire|en_solid_rapid_fire_2|Rapid wins. This streak is real — keep pushing.
solid|cozy|en_solid_cozy_1|That landed nicely. You are building something good.
solid|streak|en_solid_streak_1|The streak keeps building. You are locking in.
solid|triumphant|en_solid_triumphant_1|Strong finish. You carried that over the line.
big|triumphant|en_big_triumphant_1|Big finish. You pushed it through beautifully.
big|streak|en_big_streak_1|That is another strong hit in the streak. Keep going.
big|hype|en_big_hype_1|Huge energy. You just turned effort into momentum.
legendary|milestone|en_legendary_milestone_1|Milestone unlocked. This session has main-character energy.
quick|gentle|en_quick_gentle_2|Small step, real progress. Keep it rolling.
quick|gentle|en_quick_gentle_3|One more down. Smooth and steady.
quick|hype|en_quick_hype_2|Quick and clean. That is how it is done.
solid|steady|en_solid_steady_3|Task closed, quality intact. Onward.
solid|steady|en_solid_steady_4|Done and dusted. Clean work.
solid|rapid_fire|en_solid_rapid_fire_3|Back-to-back wins. The compiler is impressed.
solid|cozy|en_solid_cozy_2|That felt right. Quiet and effective.
solid|cozy|en_solid_cozy_3|No drama, just results. Nice.
solid|streak|en_solid_streak_2|Momentum is building. You are in the zone.
solid|triumphant|en_solid_triumphant_2|Solid execution. That is how it is done.
big|triumphant|en_big_triumphant_2|That was a marathon finish. Respect.
big|triumphant|en_big_triumphant_3|Major milestone energy. You earned this.
big|streak|en_big_streak_2|Big streak moment. The run continues.
big|hype|en_big_hype_2|This is peak performance. You just leveled up.
legendary|milestone|en_legendary_milestone_2|Achievement unlocked. The stats do not lie.
legendary|milestone|en_legendary_milestone_3|You just made history. This session is legendary.
